phase,policy,solutions,max_budget_residual,max_bound_residual,max_gap_tolerance_ratio,mean_condition,mean_hhi,worst_1bp_weight_l1,solver_seconds
validation,weekly_only/diagonal_025,17,6.8833827526759706e-15,0.0,2.0530662416721458e-08,18.04895507198179,0.2299999999999997,,0.015608268002324621
validation,weekly_only/direct,17,6.217248937900877e-15,0.0,1.236198332528007e-08,26.300355063881806,0.23000000000000065,,0.015293690001271898
validation,weekly_only/floor_0,17,1.1546319456101628e-14,0.0,1.4635006387265467e-08,26.300355063881806,0.9999999999999954,,0.0178392919988255
validation,weekly_only/risk_1,17,8.215650382226158e-15,0.0,3.70123068147164e-09,26.300355063881806,0.23000000000000018,,0.015165385993896052
validation,weekly_only/risk_10,17,9.547918011776346e-15,0.0,2.9311053483702e-09,26.300355063881806,0.23000000000000093,,0.015450004999365774
validation,weekly_rolling/blend_025,17,1.0658141036401503e-14,0.0,8.323506487630069e-08,26.300355063881806,0.21371406685252112,,0.014454607999141444
validation,weekly_rolling/cap_020,17,6.217248937900877e-15,0.0,5.865002566140367e-09,26.300355063881806,0.12499999999999979,,0.014047886001208099
validation,weekly_rolling/diagonal_025,17,7.682743330406083e-14,0.0,9.006474322152918e-09,18.04895507198179,0.22182256488446916,,0.013985011000841041
validation,weekly_rolling/direct,17,1.7319479184152442e-14,0.0,3.238548572939776e-08,26.300355063881806,0.22240845050880886,,0.013921364001362235
validation,weekly_rolling/floor_0,17,1.3766765505351941e-14,0.0,1.0809686262239342e-08,26.300355063881806,0.9327936176486089,,0.017074579998734407
validation,weekly_rolling/risk_1,17,7.30526750203353e-14,0.0,4.394816604912298e-09,26.300355063881806,0.23000000000000148,,0.01436911399832752
validation,weekly_rolling/risk_10,17,6.217248937900877e-15,0.0,7.644121965393393e-09,26.300355063881806,0.22445031410483396,,0.013970796000648988
final_test,historical_only/cap_020,9,1.1102230246251565e-15,0.0,8.75805482102173e-11,20.36936074121159,0.12393823844904409,,0.009840330998486024
final_test,historical_only/direct,9,6.661338147750939e-16,0.0,0.010267347456042844,20.36936074121159,0.161596569687093,,0.011030878000383382
final_test,reference/cap_020,9,2.220446049250313e-15,0.0,1.3297696709603877e-08,20.36936074121159,0.12499999999999897,,0.007763377001538174
final_test,reference/direct,9,1.4432899320127035e-14,0.0,6.3774536577684846e-09,20.36936074121159,0.23000000000000112,4.8759607462756094e-14,0.008026328003325034
