phase,model,ticker,actual_zero_count,count,directional_accuracy,last_price_mae,prediction_zero_count,price_mae,price_rmse,relative_price_mae,return_mae
validation,last_price,AAPL,0,17,0.0,3.9564927045036766,17,3.9564927045036766,5.630180512969093,1.0,0.014184670107181038
validation,last_price,AMD,0,17,0.0,9.088239781996784,17,9.088239781996784,10.922978366840983,1.0,0.02600362408090091
validation,last_price,AMZN,0,17,0.0,4.158822452320772,17,4.158822452320772,4.999396985344699,1.0,0.017273385654442572
validation,last_price,GOOG,0,17,0.0,4.684069465188419,17,4.684069465188419,5.763932749431457,1.0,0.013857505587879616
validation,last_price,JPM,0,17,0.0,2.6696238798253678,17,2.6696238798253678,3.2564658975549983,1.0,0.008818263170420233
validation,last_price,META,0,17,0.0,12.348097857306986,17,12.348097857306986,15.446938962100388,1.0,0.020508636264414785
validation,last_price,MSFT,0,17,0.0,5.748484892003677,17,5.748484892003677,7.194627136191338,1.0,0.01437168794541484
validation,last_price,NFLX,0,17,0.0,1.244116839240579,17,1.244116839240579,1.5715572870090622,1.0,0.013876248738719295
validation,last_price,NVDA,0,17,0.0,3.5698098575367645,17,3.5698098575367645,4.195488936628744,1.0,0.01819758002839477
validation,last_price,PLTR,0,17,0.0,4.089414259966682,17,4.089414259966682,5.3620679737068375,1.0,0.02910919333683101
validation,last_price,TSLA,0,17,0.0,6.14117431640625,17,6.14117431640625,7.5671671086860055,1.0,0.01577690820279478
validation,last_price,TSM,0,17,0.0,7.895055434283088,17,7.895055434283088,8.946583960881796,1.0,0.020467482129642132
validation,no_holidays,AAPL,0,17,0.47058823529411764,3.9564927045036766,0,8.756611376641574,12.209171904865899,2.2132257104060677,0.03088118727844944
validation,no_holidays,AMD,0,17,0.47058823529411764,9.088239781996784,0,59.49936388852648,73.28117009490668,6.546852340580943,0.16164684873328175
validation,no_holidays,AMZN,0,17,0.23529411764705882,4.158822452320772,0,19.75808678255196,22.649112351714678,4.750884898086054,0.08300252470645256
validation,no_holidays,GOOG,0,17,0.47058823529411764,4.684069465188419,0,16.895664156006685,21.115202599913733,3.6070481621960844,0.049295892535869135
validation,no_holidays,JPM,0,17,0.5294117647058824,2.6696238798253678,0,8.319140582316678,11.217111039932393,3.1162219686395938,0.02691409011431787
validation,no_holidays,META,0,17,0.35294117647058826,12.348097857306986,0,44.278324868086465,52.851078587307555,3.585841753099225,0.0720720774557695
validation,no_holidays,MSFT,0,17,0.17647058823529413,5.748484892003677,0,23.560056473174143,29.069733005364775,4.098481063409755,0.05967341812993401
validation,no_holidays,NFLX,0,17,0.4117647058823529,1.244116839240579,0,11.066682567913285,12.052559654389434,8.895211622301082,0.12307052047875769
